obfuscated,deobfuscated
func_73405_i,getItemStack
func_73406_j,getXOffset
func_73407_g,getZPosition
func_73408_m,getZOffset
func_73453_d,getProtocolVersion
func_73454_f,getUsername
func_73459_d,getLanguage
func_73460_h,getChatColours
func_73461_f,getRenderDistance
func_73462_i,getDifficulty
func_73463_g,getChatVisibility
func_73473_d,getText
func_73475_d,getIsServer
func_73489_c,getMetadata
func_73509_c,getWatchedMetadata
func_73568_g,getEffectY
func_73569_h,getEffectZ
func_73570_d,getSoundName
func_73571_i,getVolume
func_73572_f,getEffectX
func_73573_j,getPitch
func_73580_b,getChunkPosZ
func_73581_d,getNumberOfChunkInPacket
func_73582_a,getChunkPosX
func_73583_c,getChunkCompressedData
func_73593_d,getCompressedChunkData
func_73594_a,getMapChunkData
func_73607_d,getPlayerVelocityX
func_73608_g,getPlayerVelocityZ
func_73609_f,getPlayerVelocityY
func_73660_a,update
func_73665_c,getPropertiesFile
func_73666_a,logMessageAndSave
func_73667_a,setProperty
func_73668_b,saveProperties
func_73669_a,getIntProperty
func_73670_a,getBooleanProperty
func_73671_a,getProperty
func_73680_d,getBanEndDate
func_73681_a,setBanStartDate
func_73682_e,hasBanExpired
func_73683_b,getBanStartDate
func_73684_a,getBannedUsername
func_73685_g,buildBanString
func_73686_f,getBanReason
func_73687_a,setBannedBy
func_73688_c,parse
func_73689_b,setBanReason
func_73690_c,getBannedBy
func_73691_b,setBanEndDate
func_73703_b,saveToFile
func_73704_a,isBanned
func_73705_d,removeExpiredBans
func_73706_a,put
func_73707_e,loadBanList
func_73708_a,setListActive
func_73709_b,remove
func_73710_b,isListActive
func_73711_f,saveToFileWithHeader
func_73712_c,getBannedList
func_73717_a,onNoMoreProgress
func_73718_a,setLoadingProgress
func_73719_c,resetProgresAndWorkingMessage
func_73720_a,displayProgressMessage
func_73721_b,resetProgressAndMessage
func_73728_b,drawVerticalLine
func_73729_b,drawTexturedModalRect
func_73730_a,drawHorizontalLine
func_73731_b,drawString
func_73732_a,drawCenteredString
func_73733_a,drawGradientRect
func_73734_a,drawRect
func_73736_c,mousePressed
func_73737_a,drawButton
func_73738_a,getHoverState
func_73739_b,mouseDragged
func_73740_a,mouseReleased
func_73753_a,returnEnumOptions
func_73756_b,getSentMessages
func_73757_a,addTranslatedMessage
func_73758_b,scroll
func_73759_c,deleteChatLine
func_73760_d,getChatOpen
func_73761_a,clearChatMessages
func_73762_a,drawChat
func_73763_a,printChatMessageWithOptionalDeletion
func_73764_c,resetScroll
func_73765_a,printChatMessage
func_73767_b,addToSentMessages
func_73773_a,draw
func_73774_a,update
func_73777_b,deleteFromCursor
func_73778_q,getVisible
func_73779_a,deleteWords
func_73780_a,updateCursorCounter
func_73781_b,getText
func_73782_a,setText
func_73783_i,getEnableBackgroundDrawing
func_73784_d,moveCursorBy
func_73785_a,getNthWordFromPos
func_73786_a,setEnableBackgroundDrawing
func_73787_n,getSelectionEnd
func_73788_c,getNthWordFromCursor
func_73789_c,drawCursorVertical
func_73790_e,setVisible
func_73791_e,setCursorPosition
func_73792_b,writeText
func_73793_a,mouseClicked
func_73794_g,setTextColor
func_73795_f,drawTextBox
func_73796_b,setFocused
func_73797_d,setCursorPositionZero
func_73799_h,getCursorPosition
func_73800_i,setSelectionPos
func_73801_o,getWidth
func_73802_a,textboxKeyTyped
func_73803_e,setCursorPositionEnd
func_73804_f,setMaxStringLength
func_73805_d,setCanLoseFocus
func_73806_l,isFocused
func_73807_c,getSelectedtext
func_73808_g,getMaxStringLength
func_73827_b,getChatGUI
func_73828_d,renderBossHealth
func_73829_a,renderVignette
func_73830_a,renderGameOverlay
func_73831_a,updateTick
func_73832_a,renderInventorySlot
func_73833_a,setRecordPlayingMessage
func_73834_c,getUpdateCounter
func_73835_b,renderPortalOverlay
func_73836_a,renderPumpkinBlur
func_73846_a,queueTakenAchievement
func_73847_a,updateAchievementWindow
func_73848_b,queueAchievementInformation
func_73849_b,updateAchievementWindowScale
func_73859_b,drawWorldBackground
func_73860_n,handleKeyboardInput
func_73861_o,isCtrlKeyDown
func_73862_m,handleInput
func_73863_a,drawScreen
func_73864_a,mouseClicked
func_73865_d,setClipboardString
func_73866_w_,initGui
func_73867_d,handleMouseInput
func_73868_f,doesGuiPauseGame
func_73869_a,keyTyped
func_73870_l,getClipboardString
func_73871_c,drawBackground
func_73872_a,setWorldAndResolution
func_73873_v_,drawDefaultBackground
func_73874_b,onGuiClosed
func_73875_a,actionPerformed
func_73876_c,updateScreen
func_73877_p,isShiftKeyDown
func_73878_a,confirmClicked
func_73879_b,mouseMovedOrUp
func_73892_a,getSentHistory
func_73895_u_,completePlayerName
func_73906_g,wakeEntity
func_73907_g,getLeftBorder
func_73912_g,makeUseableName
func_73914_h,updateButtonText
func_73945_e,copyLinkToClipboard
func_73968_a,rotateAndBlurSkybox
func_73969_a,addSingleplayerMultiplayerButtons
func_73970_b,drawPanorama
func_73971_c,renderSkybox
func_73972_b,addDemoButtons
func_73985_g,respawnPlayer
func_74002_a,connectToServer
func_74003_b,getListOfLanServers
func_74004_a,joinServer
func_74005_e,getButtonEdit
func_74006_a,getInternetServerList
func_74009_a,getAndSetLagTooltip
func_74010_g,getTicksOpened
func_74011_h,getLock
func_74012_i,getThreadsPending
func_74014_d,getButtonSelect
func_74015_a,getAndSetSelectedServer
func_74016_g,initGuiControls
func_74018_k,decreaseThreadsPending
func_74019_f,getButtonDelete
func_74020_c,getSelectedServer
func_74021_j,increaseThreadsPending
func_74042_b,getDoneButton
func_74043_a,getGameSettings
func_74059_d,getRenameButton
func_74061_a,getDeleteWorldScreen
func_74062_b,getSelectedWorld
func_74063_d,getSaveName
func_74064_e,selectWorld
func_74065_g,initButtons
func_74068_a,getSize
func_74069_a,getSaveFileName
func_74070_c,getSelectButton
func_74071_e,getDeleteButton
func_74072_a,onElementSelected
func_74073_h,loadSaves
func_74109_g,drawTitle
func_74110_b,genAchievementBackground
func_74127_c,getStatsFileWriter
func_74128_e,getFontRenderer3
func_74129_h,getFontRenderer4
func_74130_a,getMinecraft
func_74131_a,drawItemSprite
func_74132_d,getFontRenderer2
func_74133_g,getMinecraft2
func_74134_a,drawSprite
func_74135_j,getFontRenderer6
func_74136_b,drawGradientRect1
func_74137_c,drawItemSprite
func_74138_c,drawSprite
func_74139_f,getMinecraft1
func_74140_n,getFontRenderer10
func_74141_m,getFontRenderer9
func_74142_b,drawButtonBackground
func_74143_g,addHeaderButtons
func_74144_o,getFontRenderer11
func_74145_b,getFontRenderer1
func_74146_i,getFontRenderer5
func_74147_l,getFontRenderer8
func_74148_k,getFontRenderer7
func_74149_a,drawGradientRect
func_74161_g,updateButtons
func_74163_a,sendBookToServer
func_74164_b,keyTypedInBook
func_74165_h,addNewPage
func_74184_a,drawItemStackTooltip
func_74185_a,drawGuiContainerBackgroundLayer
func_74186_a,isMouseOverSlot
func_74187_b,getSlotAtPosition
func_74188_c,isPointInRegion
func_74189_g,drawGuiContainerForegroundLayer
func_74190_a,drawCreativeTabHoveringText
func_74191_a,handleMouseClick
func_74192_a,drawSlotInventory
func_74199_h,getIMerchant
func_74221_h,displayDebuffEffects
func_74223_a,drawPlayerOnGui
func_74226_k,needsScrollBars
func_74227_b,setCurrentCreativeTab
func_74228_j,updateCreativeSearch
func_74229_i,getInventory
func_74231_b,renderCreativeInventoryHoveringText
func_74233_a,renderCreativeTab
func_74252_a,setNetClientHandler
func_74253_d,getNetClientHandler
func_74255_a,spawnNewServerThread
func_74257_b,isCancelled
func_74275_a,updateTimer
func_74291_a,saveScreenshot
func_74296_a,getOptionFloatValue
func_74297_c,getKeyBinding
func_74298_c,getKeyDisplayString
func_74299_a,getTranslation
func_74300_a,loadOptions
func_74301_b,getOptionDisplayString
func_74302_a,getKeyBindingDescription
func_74303_b,saveOptions
func_74304_a,setOptionFloatValue
func_74305_a,parseFloat
func_74306_a,setOptionValue
func_74307_a,setKeyBinding
func_74308_b,getOptionOrdinalValue
func_74309_c,shouldRenderClouds
func_74371_a,checkARBOcclusion
func_74372_a,grabMouseCursor
func_74373_b,ungrabMouseCursor
func_74374_c,mouseXYChange
func_74378_d,getEnumString
func_74379_a,getEnumOptions
func_74380_a,getEnumFloat
func_74381_c,returnEnumOrdinal
func_74382_b,getEnumBoolean
func_74420_a,getLWJGLVersion
func_74423_d,serverShutdown
func_74424_a,networkShutdown
func_74425_a,setNetHandler
func_74426_e,packetSize
func_74427_a,wakeThreads
func_74428_b,processReadPackets
func_74429_a,addToSendQueue
func_74430_c,getSocketAddress
func_74431_f,closeConnections
func_74432_i,getPairedConnection
func_74433_h,isGamePaused
func_74434_a,pairWith
func_74435_g,isConnectionActive
func_74436_b,processOrCachePacket
func_74437_a,setGamePaused
func_74446_k,encryptOuputStream
func_74447_i,readPacket
func_74448_j,decryptInputStream
func_74449_b,isServerTerminating
func_74450_c,readNetworkPacket
func_74451_d,sendNetworkPacket
func_74452_g,getSocket
func_74453_e,getOutputStream
func_74455_a,onNetworkError
func_74456_f,isTerminating
func_74457_g,getReadThread
func_74458_a,sendError
func_74459_h,sendPacket
func_74461_h,getWriteThread
func_74462_a,isRunning
func_74499_a,getClientProfilerEnabled
func_74502_a,getType
func_74505_d,unpressKey
func_74506_a,unPressAllKeys
func_74507_a,onTick
func_74508_b,resetKeyBindingArrayAndHash
func_74509_c,isPressed
func_74510_a,setKeyBindState
func_74517_a,setColorBuffer
func_74518_a,disableStandardItemLighting
func_74519_b,enableStandardItemLighting
func_74520_c,enableGUIStandardItemLighting
func_74521_a,setColorBuffer
func_74523_b,deleteDisplayLists
func_74524_c,createDirectByteBuffer
func_74525_a,deleteTexturesAndDisplayLists
func_74526_a,generateDisplayLists
func_74527_f,createDirectIntBuffer
func_74528_a,generateTextureNames
func_74529_h,createDirectFloatBuffer
func_74535_a,formatString
func_74538_a,getChatLineString
func_74539_c,getChatLineID
func_74540_b,getUpdatedCounter
func_74544_j,escapedStringChar
func_74545_d,aJsonValue
func_74546_g,possibleExponent
func_74547_h,possibleSign
func_74548_i,stringToken
func_74549_a,numberToken
func_74550_k,hexadecimalNumber
func_74551_e,digitString
func_74552_a,parse
func_74553_l,readNextNonWhitespaceChar
func_74554_d,digitToken
func_74555_b,objectString
func_74556_f,possibleFractionalComponent
func_74557_b,nonNegativeNumberToken
func_74558_c,aFieldToken
func_74559_a,arrayString
func_74560_c,nonZeroDigitToken
func_74561_c,getRow
func_74562_b,getColumn
func_74563_a,updateCharacterAndLineCounts
func_74564_a,read
func_74565_b,read
func_74566_a,uncount
func_74567_a,unread
func_74572_a,downloadResource
func_74573_a,reloadResources
func_74574_b,closeMinecraft
func_74575_a,downloadAndInstallResource
func_74576_a,loadResource
func_74583_a,updateRenderInfo
func_74584_a,getBlockIdAtEntityViewpoint
func_74585_b,projectViewFromEntity
func_74599_b,buildNode
func_74603_a,withElement
func_74604_a,build
func_74608_a,withFieldBuilder
func_74610_b,getElements
func_74613_a,wrapExceptionsFor
func_74616_a,getType
func_74618_a,asList
func_74628_a,shortForm
func_74629_b,applyTo
func_74630_a,matchesNode
func_74633_c,typeSafeApplyTo
func_74634_a,matchesNode_
func_74635_b,typeSafeApplyTo_
func_74637_b,typeSafeApplyTo
func_74638_a,matchesNode_
func_74642_b,typeSafeApplyTo
func_74646_k,nullValue
func_74647_c,stringValue
func_74648_a,startField
func_74649_j,falseValue
func_74650_b,numberValue
func_74651_f,startObject
func_74652_d,startArray
func_74653_g,endObject
func_74654_i,trueValue
func_74655_e,endArray
func_74656_b,startDocument
func_74657_c,endDocument
func_74658_h,endField
func_74659_b,addValue
func_74660_a,getDocument
func_74661_a,addRootNode
func_74676_a,chainedJsonNodeSelector
func_74677_a,chainOn
func_74685_a,shortForm
func_74686_a,with
func_74687_b,getValue
func_74688_a,matches
func_74690_a,aJsonArray
func_74691_b,aJsonNumber
func_74692_a,aJsonObject
func_74693_b,aJsonTrue
func_74694_c,aJsonFalse
func_74695_a,aJsonArray
func_74696_a,aJsonNull
func_74697_a,aJsonString
func_74700_a,getShortFormFailPath
func_74704_a,jsonNodeDoesNotMatchPathElementsException
func_74705_a,commaSeparate
func_74706_b,formatMessage
func_74708_e,anArrayBuilder
func_74711_d,anObjectBuilder
func_74715_a,addNode
func_74716_a,addField
func_74723_b,withValue
func_74725_c,buildValue
func_74726_a,withKey
func_74727_a,aJsonFieldBuilder
func_74731_a,writeNamedTag
func_74732_a,getId
func_74733_a,newTag
func_74734_a,write
func_74735_a,load
func_74736_a,getTagName
func_74737_b,copy
func_74738_o,setName
func_74739_b,readNamedTag
func_74740_e,getName
func_74742_a,appendTag
func_74743_b,tagAt
func_74744_a,removeTag
func_74745_c,tagCount
func_74757_a,setBoolean
func_74758_c,getTags
func_74759_k,getIntArray
func_74760_g,getFloat
func_74761_m,getTagList
func_74762_e,getInteger
func_74763_f,getLong
func_74764_b,hasKey
func_74765_d,getShort
func_74766_a,setCompoundTag
func_74767_n,getBoolean
func_74768_a,setInteger
func_74769_h,getDouble
func_74770_j,getByteArray
func_74771_c,getByte
func_74772_a,setLong
func_74773_a,setByteArray
func_74774_a,setByte
func_74775_l,getCompoundTag
func_74776_a,setFloat
func_74777_a,setShort
func_74778_a,setString
func_74779_i,getString
func_74780_a,setDouble
func_74781_a,getTag
func_74782_a,setTag
func_74783_a,setIntArray
func_74785_a,format
func_74786_a,formatJsonNode
func_74787_a,format
func_74788_a,parse
func_74792_a,decompress
func_74793_a,safeWrite
func_74794_a,read
func_74795_b,write
func_74796_a,readCompressed
func_74797_a,read
func_74798_a,compress
func_74799_a,writeCompressed
func_74800_a,write
func_74802_e,isBidirectional
func_74803_a,translateKeyFormat
func_74804_d,isUnicode
func_74805_b,translateKey
func_74806_b,getLanguageList
func_74807_e,loadLanguageList
func_74808_a,getInstance
func_74809_c,translateNamedKey
func_74810_a,setLanguage
func_74811_c,getCurrentLanguage
func_74812_a,loadLanguage
func_74818_a,setup
func_74819_a,loadAlgorithms
func_74820_b,addMacAlgorithms
func_74821_a,doSetup
func_74830_a,toLowerCase
func_74837_a,translateToLocalFormatted
func_74838_a,translateToLocal
func_74840_a,configure
func_74841_a,calculateMask
func_74844_a,getErrorOjbects
func_74850_a,processBytes
func_74851_a,returnByte
func_74852_a,nextChunk
func_74860_a,isLiquidInStructureBoundingBox
func_74861_a,buildComponent
func_74862_a,getYWithOffset
func_74863_c,getMetadataWithOffset
func_74864_a,placeBlockAtCurrentPosition
func_74865_a,getXWithOffset
func_74866_a,getBlockIdAtCurrentPosition
func_74867_a,randomlyRareFillWithBlocks
func_74868_a,getCenter
func_74869_a,generateStructureDispenserContents
func_74870_b,fillCurrentPositionBlocksDownwards
func_74871_b,clearCurrentPositionBlocksUpwards
func_74872_a,fillWithMetadataBlocks
func_74873_b,getZWithOffset
func_74874_b,getBoundingBox
func_74875_a,addComponentParts
func_74876_a,randomlyPlaceBlock
func_74877_c,getComponentType
func_74878_a,fillWithAir
func_74879_a,generateStructureChestContents
func_74880_a,randomlyFillWithBlocks
func_74881_a,placeDoorAtCurrentPosition
func_74882_a,fillWithRandomizedBlocks
func_74883_a,findIntersecting
func_74884_a,fillWithBlocks
func_74888_b,getVillagerType
func_74889_b,getAverageGroundLevel
func_74890_d,getBiomeSpecificBlock
func_74891_a,getNextComponentNN
func_74892_e,getBiomeSpecificBlockMetadata
func_74893_a,spawnVillagers
func_74894_b,getNextComponentPP
func_74895_a,canVillageGoDeeper
func_74925_d,getWorldChunkManager
func_74950_a,findValidPlacement
func_74951_a,findValidPlacement
func_74954_a,findValidPlacement
func_74959_a,getNextComponent
func_74960_a,getTotalWeight
func_74961_b,getNextComponentX
func_74962_a,getNextComponent
func_74963_a,getNextComponentNormal
func_74964_a,isAboveGround
func_74965_c,getNextComponentZ
func_74966_a,createValidComponent
func_74973_a,createValidComponent
func_74974_a,createValidComponent
func_74975_a,createValidComponent
func_74977_a,createValidComponent
func_74978_a,createValidComponent
func_74979_a,createValidComponent
func_74980_a,createValidComponent
func_74981_a,createValidComponent
func_74982_a,createValidComponent
func_74983_a,createValidComponent
func_74984_a,createValidComponent
func_74985_a,createValidComponent
func_74986_a,getNextComponentNormal
func_74987_c,getNextComponentZ
func_74988_a,getRandomDoor
func_74989_b,getNextComponentX
func_74990_a,placeDoor
func_74991_a,canStrongholdGoDeeper
func_74994_a,findValidPlacement
func_75000_a,findValidPlacement
func_75004_a,findValidPlacement
func_75006_a,findValidPlacement
func_75010_a,findValidPlacement
func_75012_a,findValidPlacement
func_75016_a,findValidPlacement
func_75018_a,findValidPlacement
func_75022_a,getStrongholdStairsComponent
func_75028_a,findValidPlacement
func_75036_a,generate
func_75037_a,recursiveGenerate
func_75041_a,generateLargeCaveNode
func_75042_a,generateCaveNode
func_75043_a,generateCaveNode
func_75044_a,generateLargeCaveNode
func_75045_a,generateRavine
func_75047_a,canSpawnStructureAtCoords
func_75048_a,hasStructureAt
func_75049_b,getStructureStart
func_75050_a,getNearestInstance
func_75051_a,generateStructuresInChunk
func_75052_o_,getCoordList
func_75059_a,getSpawnList
func_75062_a,selectBlocks
func_75063_a,getSelectedBlockId
func_75064_b,getSelectedBlockMetaData
func_75067_a,markAvailableHeight
func_75068_a,generateStructure
func_75069_d,isSizeableStructure
func_75070_a,setRandomHeight
func_75071_a,getBoundingBox
func_75072_c,updateBoundingBox
func_75073_b,getComponents
func_75077_d,getNextVillageStructureComponent
func_75078_a,getNextStructureComponent
func_75080_e,getNextComponentVillagePath
func_75081_c,getNextVillageComponent
func_75082_b,getNextStructureComponentVillagePath
func_75084_a,getStructureVillageWeightedPieceList
func_75085_a,canSpawnMoreVillagePiecesOfType
func_75086_a,canSpawnMoreVillagePieces
func_75091_a,writeCapabilitiesToNBT
func_75092_a,setFlySpeed
func_75093_a,getFlySpeed
func_75094_b,getWalkSpeed
func_75095_b,readCapabilitiesFromNBT
func_75111_a,addStats
func_75112_a,readNBT
func_75113_a,addExhaustion
func_75114_a,setFoodLevel
func_75115_e,getSaturationLevel
func_75116_a,getFoodLevel
func_75117_b,writeNBT
func_75118_a,onUpdate
func_75119_b,setFoodSaturationLevel
func_75120_b,getPrevFoodLevel
func_75121_c,needFood
func_75122_a,addStats
func_75128_a,setPlayerIsPresent
func_75129_b,isPlayerNotUsingContainer
func_75130_a,onCraftMatrixChanged
func_75131_a,putStacksInSlots
func_75132_a,addCraftingToCrafters
func_75133_b,retrySlotClick
func_75134_a,onCraftGuiClosed
func_75135_a,mergeItemStack
func_75136_a,getNextTransactionID
func_75137_b,updateProgressBar
func_75138_a,getInventory
func_75139_a,getSlot
func_75140_a,enchantItem
func_75141_a,putStackInSlot
func_75142_b,detectAndSendChanges
func_75144_a,slotClick
func_75145_c,canInteractWith
func_75146_a,addSlotToContainer
func_75147_a,getSlotFromInventory
func_75174_d,getMerchantInventory
func_75175_c,setCurrentRecipeIndex
func_75183_a,scrollTo
func_75184_d,hasMoreThan1PageOfItemsInList
func_75189_a,canSpawnMoreStructuresOfType
func_75190_a,canSpawnMoreStructures
func_75195_a,getNextValidComponentAccess
func_75196_c,getNextValidComponent
func_75197_b,getStrongholdStones
func_75198_a,prepareStructurePieces
func_75199_a,setComponentType
func_75200_a,getStrongholdComponentFromWeightedPiece
func_75201_b,getNextComponent
func_75202_c,canAddStructurePieces
func_75208_c,onCrafting
func_75209_a,decrStackSize
func_75210_a,onCrafting
func_75211_c,getStack
func_75212_b,getBackgroundIconIndex
func_75214_a,isItemValid
func_75215_d,putStack
func_75216_d,getHasStack
func_75217_a,isSlotInInventory
func_75218_e,onSlotChanged
func_75219_a,getSlotStackLimit
func_75220_a,onSlotChange
func_75243_a_,canHoldPotion
func_75246_d,updateTask
func_75247_h,getMutexBits
func_75248_a,setMutexBits
func_75249_e,startExecuting
func_75250_a,shouldExecute
func_75251_c,resetTask
func_75252_g,isInterruptible
func_75253_b,continueExecuting
func_75270_a,setSitting
func_75296_a,isSuitableTarget
func_75349_a,findUsableDoor
func_75362_f,getEatGrassTick
func_75366_f,findPossibleShelter
func_75382_a,hasPlayerGotBoneInHand
func_75388_i,spawnBaby
func_75389_f,getNearbyMate
func_75398_a,isSittableBlock
func_75399_f,getNearbySitableBlockDistance
func_75446_f,checkSufficientDoorsPresentForNewVillager
func_75447_i,giveBirth
func_75458_a,compareDistanceSq
func_75461_b,findRandomTargetBlockAwayFrom
func_75462_c,findRandomTargetBlock
func_75463_a,findRandomTarget
func_75464_a,findRandomTargetBlockTowards
func_75466_d,resetDoorOpeningRestrictionCounter
func_75467_a,isInside
func_75468_f,getDoorOpeningRestrictionCounter
func_75469_c,getInsideDistanceSquare
func_75470_e,incrementDoorOpeningRestrictionCounter
func_75471_a,getInsidePosX
func_75472_c,getInsidePosZ
func_75473_b,getInsidePosY
func_75474_b,getDistanceSquared
func_75483_a,isSafeToStandAt
func_75484_a,setPath
func_75485_k,canNavigate
func_75486_a,getAvoidsWater
func_75487_m,removeSunnyPath
func_75488_a,getPathToXYZ
func_75489_a,setSpeed
func_75490_c,setEnterDoors
func_75491_a,setAvoidsWater
func_75492_a,tryMoveToXYZ
func_75493_a,isDirectPathBetweenPoints
func_75494_a,getPathToEntityLiving
func_75495_e,setCanSwim
func_75496_b,isPositionClear
func_75497_a,tryMoveToEntityLiving
func_75498_b,setBreakDoors
func_75499_g,clearPathEntity
func_75500_f,noPath
func_75501_e,onUpdateNavigation
func_75502_i,getEntityPosition
func_75503_j,getPathableYPos
func_75504_d,setAvoidSun
func_75505_d,getPath
func_75506_l,isInFluid
func_75507_c,getCanBreakDoors
func_75508_h,pathFollow
func_75522_a,canSee
func_75523_a,clearSensingCache
func_75528_a,tick
func_75530_c,spawnZombie
func_75540_b,getVillageList
func_75541_e,isWoodenDoorAt
func_75542_c,addDoorToNewListIfAppropriate
func_75543_d,dropOldestVillagerPosition
func_75544_a,tick
func_75545_e,addNewDoorsToVillageOrCreateVillage
func_75546_a,addUnassignedWoodenDoorsAroundToNewDoorsList
func_75547_b,getVillageDoorAt
func_75548_d,isVillagerPositionPresent
func_75549_c,removeAnnihilatedVillages
func_75550_a,findNearestVillage
func_75551_a,addVillagerPosition
func_75557_k,removeDeadAndOutOfRangeDoors
func_75558_f,getVillageDoorInfoList
func_75559_a,tryGetIronGolemSpawningLocation
func_75560_a,tick
func_75561_d,getTicksSinceLastDoorAdding
func_75562_e,getNumVillagers
func_75563_b,isValidIronGolemSpawningLocation
func_75564_b,findNearestDoor
func_75565_j,removeDeadAndOldAgressors
func_75566_g,isAnnihilated
func_75567_c,getNumVillageDoors
func_75568_b,getVillageRadius
func_75569_c,findNearestDoorUnrestricted
func_75570_a,isInRange
func_75571_b,findNearestVillageAggressor
func_75572_i,updateNumVillagers
func_75573_l,updateVillageRadiusAndCenter
func_75574_f,isBlockDoor
func_75575_a,addOrRenewAgressor
func_75576_a,addVillageDoorInfo
func_75577_a,getCenter
func_75578_e,getVillageDoorAt
func_75579_h,updateNumIronGolems
func_75598_a,getCreatureClass
func_75599_d,getPeacefulCreature
func_75600_c,getCreatureMaterial
func_75601_b,getMaxNumberOfCreature
func_75614_a,addMapping
func_75615_a,createEntityFromNBT
func_75616_a,createEntityByID
func_75617_a,getStringFromID
func_75618_a,addMapping
func_75619_a,getEntityID
func_75620_a,createEntityByName
func_75621_b,getEntityString
func_75630_a,multiplyBy32AndRound
func_75638_b,getSpeed
func_75639_a,limitAngle
func_75640_a,isUpdating
func_75641_c,onUpdateMoveHelper
func_75642_a,setMoveTo
func_75649_a,onUpdateLook
func_75650_a,setLookPosition
func_75651_a,setLookPositionWithEntity
func_75652_a,updateRotation
func_75660_a,setJumping
func_75661_b,doJump
func_75669_b,getObject
func_75670_d,isWatched
func_75671_a,setWatched
func_75672_a,getDataValueId
func_75673_a,setObject
func_75674_c,getObjectType
func_75679_c,getWatchableObjectInt
func_75680_a,writeObjectsInListToStream
func_75681_e,getWatchableObjectString
func_75682_a,addObject
func_75683_a,getWatchableObjectByte
func_75684_a,hasChanges
func_75685_c,getAllWatched
func_75686_a,readWatchableObjects
func_75687_a,updateWatchedObjectsFromList
func_75688_b,unwatchAndReturnAllWatched
func_75689_a,writeWatchableObjects
func_75690_a,writeWatchableObject
func_75691_i,getWatchedObject
func_75692_b,updateObject
func_75693_b,getWatchableObjectShort
func_75734_a,waitForFinish
func_75735_a,queueIO
func_75736_b,processQueue
func_75742_a,loadData
func_75743_a,getUniqueDataId
func_75744_a,saveAllData
func_75745_a,setData
func_75746_b,loadIdCounts
func_75747_a,saveData
func_75752_b,readPlayerData
func_75753_a,writePlayerData
func_75754_f,getAvailablePlayerDat
func_75755_a,saveWorldInfoWithPlayer
func_75756_e,getSaveHandler
func_75757_d,loadWorldInfo
func_75758_b,getMapFileFromName
func_75759_a,flush
func_75760_g,getWorldDirectoryName
func_75761_a,saveWorldInfo
func_75762_c,checkSessionLock
func_75763_a,getChunkLoader
func_75764_a,getPlayerData
func_75765_b,getWorldDirectory
func_75766_h,setSessionLock
func_75773_a,canContinue
func_75774_a,onUpdateTasks
func_75775_b,canUse
func_75776_a,addTask
func_75777_a,areTasksCompatible
func_75783_h,getCheatsEnabled
func_75784_e,getLastTimePlayed
func_75785_d,requiresConversion
func_75786_a,getFileName
func_75787_a,compareTo
func_75788_b,getDisplayName
func_75789_g,isHardcoreModeEnabled
func_75790_f,getEnumGameType
func_75799_b,getSaveList
func_75800_d,flushCache
func_75801_b,isOldMapFormat
func_75802_e,deleteWorldDirectory
func_75803_c,getWorldInfo
func_75804_a,getSaveLoader
func_75805_a,convertMapFormat
func_75806_a,renameWorld
func_75807_a,deleteFiles
func_75809_f,createFile
func_75810_a,addRegionFilesToCollection
func_75811_a,convertChunks
func_75812_c,getSaveVersion
func_75813_a,convertFile
func_75814_c,writeNextIO
func_75815_a,loadChunk
func_75816_a,saveChunk
func_75817_a,chunkTick
func_75818_b,saveExtraData
func_75819_b,saveExtraChunkData
func_75820_a,writeChunkToNBT
func_75821_a,writeChunkNBTTags
func_75822_a,checkedReadChunkFromNBT
func_75823_a,readChunkFromNBT
func_75824_a,addChunkToPending
func_75829_a,distanceTo
func_75830_a,makeHash
func_75831_a,isAssigned
func_75843_a,format
func_75844_c,dequeue
func_75845_e,isPathEmpty
func_75846_b,sortForward
func_75847_a,sortBack
func_75848_a,clearPath
func_75849_a,addPoint
func_75850_a,changeDistance
func_75853_a,createEntityPath
func_75854_a,openPoint
func_75855_a,getVerticalOffset
func_75856_a,createEntityPathTo
func_75857_a,createEntityPathTo
func_75858_a,getSafePoint
func_75859_a,createEntityPathTo
func_75860_b,findPathOptions
func_75861_a,addToPath
func_75870_c,getFinalPathPoint
func_75871_b,setCurrentPathLength
func_75872_c,setCurrentPathIndex
func_75873_e,getCurrentPathIndex
func_75874_d,getCurrentPathLength
func_75875_a,incrementPathIndex
func_75876_a,isSamePath
func_75877_a,getPathPointFromIndex
func_75878_a,getPosition
func_75879_b,isFinished
func_75880_b,isDestinationSame
func_75881_a,getVectorFromIndex
func_75885_a,cipherOperation
func_75886_a,createTheCipherInstance
func_75887_a,decryptSharedKey
func_75888_a,decryptInputStream
func_75889_b,decryptData
func_75890_a,createNewSharedKey
func_75891_b,createNewKeyPair
func_75892_a,createBufferedBlockCipher
func_75893_a,digestOperation
func_75894_a,encryptData
func_75895_a,getServerIdHash
func_75896_a,decodePublicKey
func_75897_a,encryptOuputStream
func_75899_a,getMD5String
func_75901_a,initializeAllBiomeGenerators
func_75902_a,nextInt
func_75903_a,initChunkSeed
func_75904_a,getInts
func_75905_a,initWorldGenSeed
func_75912_b,choose
func_75913_a,choose
func_75915_a,magnify
func_75916_b,modeOrRandom
func_75917_a,choose
func_75918_d,initCraftableStats
func_75919_a,nopInit
func_75920_a,initUsableStats
func_75921_a,initMinableStats
